,Unnamed: 0,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,val_loss,val_accuracy,val_recall,val_precision,val_AUROC,val_AUPRC,val_f1_score,val_balanced_accuracy,val_specificity,val_miss_rate,val_fall_out,val_mcc,val_true_positives_over_total,val_false_positives_over_total,val_true_negatives_over_total,val_false_negatives_over_total,val_negative_predictive_value,val_false_discovery_rate,val_false_omission_rate,val_prevalence_threshold,val_threat_score,val_fowlkes_mallows_index,val_informedness,val_markedness,val_positive_likelyhood_ratio,val_negative_likelyhood_ratio,val_DOR
86,1,0.3894425630569458,0.8142520785331726,0.6293343901634216,0.6392131447792053,0.8648052215576172,0.6526041626930237,0.6342353224754333,0.7535894513130188,0.877844512462616,0.3706656098365783,0.1221555098891258,0.5097910761833191,0.1610432565212249,0.0908965766429901,0.65320885181427,0.0948513224720954,0.8732036352157593,0.3607868552207947,0.1267963796854019,0.3058306574821472,0.4643810987472534,0.7535894513130188,0.634254515171051,0.5124167799949646,5.151907444000244,0.4222451150417328,3.058267116546631,0.446929007768631,0.7673825025558472,0.1582550853490829,0.7016478776931763,0.8485699892044067,0.6181208491325378,0.2582601606845855,0.5675567388534546,0.976858377456665,0.8417448997497559,0.0231416076421737,0.2528168261051178,0.0404965728521347,0.0172198023647069,0.7268859148025513,0.2153977006673813,0.7714088559150696,0.2983521223068237,0.2285911589860916,0.2766201794147491,0.1482771188020706,0.5675567388534546,0.333225667476654,0.4730567336082458,6.838522434234619,0.861685574054718,1.3124419450759888
87,2,0.3876295685768127,0.8142270445823669,0.6362302303314209,0.6372275352478027,0.8658546805381775,0.6512248516082764,0.6367285251617432,0.7558348178863525,0.8754394054412842,0.3637697398662567,0.124560609459877,0.5119327306747437,0.1628078669309616,0.0926862210035324,0.6514192223548889,0.0930867046117782,0.8749684691429138,0.3627724647521972,0.125031515955925,0.3067443072795868,0.4670591950416565,0.7558348178863525,0.6367287039756775,0.5121960043907166,5.107792377471924,0.4155281186103821,3.095587491989136,0.5090411305427551,0.7450568079948425,0.0052816900424659,0.7714285850524902,0.8378149271011353,0.5909236669540405,0.0104915481060743,0.5023717880249023,0.999461829662323,0.9947183132171632,0.0005381769151426,0.0494948029518127,0.0013515542959794,0.0004004605289082,0.7437052726745605,0.254542738199234,0.7450105547904968,0.2285714298486709,0.2549894750118255,0.2419603168964386,0.0052734375931322,0.5023717880249023,0.0638313964009285,0.5164391398429871,9.812217712402344,0.9952538013458252,1.0095322132110596
88,3,0.3931860029697418,0.8131883144378662,0.6137330532073975,0.6409745812416077,0.8614317178726196,0.6434588432312012,0.6270580887794495,0.7477566003799438,0.8817800879478455,0.3862669467926025,0.1182198897004127,0.5027303695678711,0.1570509672164917,0.0879680588841438,0.6561373472213745,0.0988436117768287,0.8690779805183411,0.3590254485607147,0.1309219896793365,0.3050196766853332,0.4567258656024933,0.7477566003799438,0.6272059082984924,0.5100525617599487,5.191449165344238,0.438053548336029,2.964424133300781,0.4034270346164703,0.8088802099227905,0.6762519478797913,0.6151245832443237,0.8586506247520447,0.6476889252662659,0.6442415118217468,0.7653712034225464,0.8544903993606567,0.3237480521202087,0.145509585738182,0.5150645971298218,0.1730490028858184,0.1082745119929313,0.6358311772346497,0.0828452706336975,0.8847252130508423,0.3848754465579986,0.1152747794985771,0.3168767988681793,0.4751890003681183,0.7653712034225464,0.6449645161628723,0.499849796295166,4.647469997406006,0.3788784742355346,3.2620503902435303
89,4,0.3854575753211975,0.8160417675971985,0.6161783933639526,0.6477634906768799,0.8680514097213745,0.6554643511772156,0.6315762996673584,0.7504761219024658,0.884773850440979,0.383821576833725,0.1152261272072792,0.5093781352043152,0.1576767116785049,0.0857403874397277,0.65836501121521,0.0982178598642349,0.8701822757720947,0.3522365093231201,0.129817709326744,0.3018887042999267,0.461535632610321,0.7504761219024658,0.6317735910415649,0.5179457664489746,5.347553253173828,0.4338074922561645,3.00763201713562,0.3984888195991516,0.8100816011428833,0.613458514213562,0.6330237984657288,0.8574399948120117,0.642341673374176,0.6230876445770264,0.7455788850784302,0.8776993155479431,0.386541485786438,0.1223007068037986,0.4962981045246124,0.1569805294275283,0.091004654765129,0.6531010866165161,0.0989137515425682,0.8684683442115784,0.3669761717319488,0.1315316557884216,0.3086762428283691,0.45252525806427,0.7455788850784302,0.6231643557548523,0.5014921426773071,5.015981197357178,0.440403014421463,2.9304909706115723
90,5,0.3821645975112915,0.8174809813499451,0.6170098185539246,0.6513500809669495,0.8704026937484741,0.661827027797699,0.6337150931358337,0.7517159581184387,0.8864220976829529,0.3829901814460754,0.1135778799653053,0.5126254558563232,0.1578894704580307,0.0845139175653457,0.6595914959907532,0.0980051085352897,0.8706368207931519,0.3486499190330505,0.1293631792068481,0.3002309501171112,0.463823527097702,0.7517159581184387,0.6339474320411682,0.5219869017601013,5.432477474212647,0.4320629239082336,3.027644634246826,0.4579943716526031,0.7568203210830688,0.0758998468518257,0.7432950139045715,0.8503990769386292,0.6236732006072998,0.1377351731061935,0.5334426760673523,0.9909855127334596,0.9241001605987548,0.0090144630521535,0.1829608678817749,0.019422335550189,0.0067077139392495,0.7373980283737183,0.2364719361066818,0.7571832537651062,0.2567049860954284,0.242816761136055,0.2562992572784424,0.0739611163735389,0.5334426760673523,0.2375204861164093,0.5004782676696777,8.419692993164062,0.9325060844421388,1.1433593034744265
91,6,0.4078659415245056,0.8044152855873108,0.5994522571563721,0.6223406791687012,0.8537353277206421,0.6145727634429932,0.6106820702552795,0.7371767163276672,0.8749011754989624,0.4005477428436279,0.1250988095998764,0.4802967011928558,0.1533965766429901,0.0930867046117782,0.6510187387466431,0.1024979948997497,0.8639737963676453,0.3776592910289764,0.1360261738300323,0.3135753870010376,0.4395553171634674,0.7371767163276672,0.6107892990112305,0.4863144755363464,4.791826248168945,0.4578205049037933,2.804837226867676,0.430134117603302,0.7964659333229065,0.7302425503730774,0.5814641714096069,0.8542086482048035,0.6366819739341736,0.6474158763885498,0.7747411727905273,0.8192398548126221,0.2697574198246002,0.1807601749897003,0.5134313106536865,0.186864897608757,0.1345046758651733,0.6096010208129883,0.0690293833613395,0.8982813358306885,0.418535828590393,0.1017186716198921,0.3322329521179199,0.4786511063575744,0.7747411727905273,0.6516209840774536,0.4797455072402954,4.039839744567871,0.3292776644229889,3.4393372535705566
92,7,0.3836864233016968,0.8164172172546387,0.6187215447425842,0.6479717493057251,0.868751049041748,0.6549955010414124,0.6330089569091797,0.7515627145767212,0.8844038844108582,0.3812784254550934,0.1155961453914642,0.5109302401542664,0.1583274900913238,0.0860157161951065,0.6580896973609924,0.097567081451416,0.8708844184875488,0.3520282804965973,0.1291155964136123,0.3017924427986145,0.463067352771759,0.7515627145767212,0.6331777572631836,0.5188561677932739,5.352436542510986,0.4311134219169616,3.025160074234009,0.4004257619380951,0.8094308376312256,0.6265649199485779,0.6279160976409912,0.8560071587562561,0.6378726363182068,0.6272397637367249,0.7494412660598755,0.8723175525665283,0.3734350502490997,0.127682477235794,0.4992353618144989,0.1603343784809112,0.095009259879589,0.6490964889526367,0.0955598950386047,0.871672511100769,0.3720839023590088,0.1283275038003921,0.3110203146934509,0.4569186866283417,0.7494412660598755,0.6272401213645935,0.4995886087417602,4.907207489013672,0.4280952513217926,2.991079092025757
93,0,0.4795694649219513,0.7840408682823181,0.5178265571594238,0.5887128114700317,0.8119993209838867,0.5576840043067932,0.5509991645812988,0.6967086791992188,0.8755907416343689,0.4821734130382538,0.1244092360138893,0.4110574722290039,0.1325090080499649,0.0925735905766487,0.6515318155288696,0.1233855634927749,0.8407758474349976,0.4112871885299682,0.1592241525650024,0.3289290964603424,0.3802614510059356,0.6967086791992188,0.5521332621574402,0.4294886589050293,4.162280559539795,0.5506834983825684,2.297159433364868,0.4013530611991882,0.8101316690444946,0.613458514213562,0.633151650428772,0.8560927510261536,0.641335666179657,0.6231495141983032,0.7456125020980835,0.8777665495872498,0.386541485786438,0.122233435511589,0.4963996410369873,0.1569805294275283,0.0909545943140983,0.6531510949134827,0.0989137515425682,0.8684771060943604,0.3668483793735504,0.1315228939056396,0.3086175918579101,0.4525905549526214,0.7456125020980835,0.6232272982597351,0.5016287565231323,5.018741607666016,0.4403692781925201,2.9310107231140137
94,1,0.4053068161010742,0.8045029044151306,0.6023377776145935,0.6218317747116089,0.8510521650314331,0.6232308149337769,0.6119295358657837,0.7381821870803833,0.8740265965461731,0.3976622521877289,0.1259733885526657,0.481423407793045,0.1541349589824676,0.0937374830245971,0.6503679156303406,0.1017596125602722,0.8647043108940125,0.3781682252883911,0.1352956891059875,0.3138084411621094,0.4408490657806396,0.7381821870803833,0.6120071411132812,0.4865360856056213,4.781464576721191,0.4549772143363952,2.819449186325073,0.4584374129772186,0.7441056966781616,0.0,0.0,0.8521183133125305,0.6283951997756958,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7441056966781616,0.255894273519516,0.7441056966781616,0.0,0.255894273519516,0.0,0.0,0.5,0.0,-0.2558943033218384,0.0,0.9999998807907104,0.9999998807907104
95,2,0.408237487077713,0.801899790763855,0.5574901103973389,0.6270077228546143,0.8489389419555664,0.6253445744514465,0.5902089476585388,0.7217206954956055,0.8859512209892273,0.4425098896026611,0.114048808813095,0.4615602791309356,0.1426586955785751,0.0848643407225608,0.6592410802841187,0.1132358834147453,0.8534119725227356,0.3729923069477081,0.1465880423784256,0.3114369809627533,0.4186499118804931,0.7217206954956055,0.5912280678749084,0.4804196953773498,4.888166904449463,0.4994742572307586,2.59351110458374,0.4005286991596222,0.8090804219245911,0.6766431927680969,0.6154804229736328,0.857227623462677,0.6480530500411987,0.6446142196655273,0.7656340599060059,0.8546249866485596,0.3233568072319031,0.1453750431537628,0.5155748128890991,0.1731491237878799,0.1081743985414505,0.6359313130378723,0.0827451571822166,0.8848645091056824,0.3845195770263672,0.1151354759931564,0.3167141377925873,0.4755946695804596,0.7656340599060059,0.6453376412391663,0.5003449320793152,4.654462814331055,0.3783609867095947,3.266831159591675
96,3,0.3997158110141754,0.8075816035270691,0.5877145528793335,0.6337411403656006,0.8559533953666687,0.632684588432312,0.6098607182502747,0.735453724861145,0.8831928968429565,0.4122854173183441,0.1168071031570434,0.4830048084259033,0.1503929644823074,0.086916796863079,0.6571886539459229,0.1055015996098518,0.8616717457771301,0.366258829832077,0.1383282393217086,0.3083468675613403,0.4387047290802002,0.735453724861145,0.6102941036224365,0.4954128861427307,5.031492710113525,0.4668123722076416,2.7800567150115967,0.3958912491798401,0.8112829923629761,0.5800078511238098,0.6462510824203491,0.8591064214706421,0.6524086594581604,0.6113402247428894,0.73541259765625,0.8908173441886902,0.4199921786785126,0.1091826409101486,0.4884506165981293,0.1484206765890121,0.0812434330582618,0.6628623008728027,0.1074735969305038,0.860484778881073,0.3537489175796509,0.1395152360200882,0.3025867640972137,0.4402375519275665,0.73541259765625,0.6122341752052307,0.5067358613014221,5.312266826629639,0.4714682698249817,2.779468774795532
