loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number,use_feature_selection,elapsed_time
0.17501521110534668,0.9541755318641663,0.10526315867900848,0.6399999856948853,0.7695706486701965,0.3012106716632843,0.1807909607887268,0.5511376857757568,0.997012197971344,0.8947368264198303,0.002987799933180213,0.2470332235097885,0.005056490655988455,0.0028442759066820145,0.9491190910339355,0.042980168014764786,0.9566775560379028,0.36000001430511475,0.043322451412677765,0.14418411254882812,0.09937888383865356,0.5511376857757568,0.25955426692962646,0.5966775417327881,35.22981643676758,0.8974180221557617,1.2278544902801514,test,MMNNV1,active_enhancers_vs_inactive_enhancers,9,True,85.01
0.07223673164844513,0.9748558402061462,0.6267489790916443,0.8062466979026794,0.9736036658287048,0.7957068681716919,0.7052558660507202,0.8095776438713074,0.9924063086509705,0.3732510209083557,0.00759367598220706,0.6983336210250854,0.03008216805756092,0.007229201029986143,0.9447736144065857,0.017914988100528717,0.981390655040741,0.19375330209732056,0.01860932633280754,0.09915808588266373,0.5447067022323608,0.8095776438713074,0.7108546495437622,0.7876373529434204,82.53456115722656,0.37610700726509094,4.25148344039917,train,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,9,True,81.61
0.24823914468288422,0.9431934952735901,0.22368420660495758,0.355091392993927,0.7444901466369629,0.22899484634399414,0.2744702398777008,0.6015923023223877,0.9795003533363342,0.7763158082962036,0.02049962617456913,0.25364458560943604,0.010745042003691196,0.019514892250299454,0.9324484467506409,0.03729161620140076,0.9615447521209717,0.644908607006073,0.03845527023077011,0.23238106071949005,0.15906432271003723,0.6015923023223877,0.2818303406238556,0.3166361451148987,10.91157054901123,0.7925629615783691,1.5099914073944092,test,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,9,True,81.61
0.06595952808856964,0.9746977686882019,0.6041152477264404,0.8214884996414185,0.981531023979187,0.8064106106758118,0.6962295174598694,0.7987483739852905,0.9933814406394958,0.39588478207588196,0.006618531886488199,0.6921473741531372,0.028995811939239502,0.006300861015915871,0.9457019567489624,0.019001342356204987,0.9803034067153931,0.17851147055625916,0.019696567207574844,0.09475217759609222,0.5340123772621155,0.7987483739852905,0.7044669985771179,0.8017919063568115,91.27494049072266,0.39852237701416016,3.968902587890625,train,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,9,False,179.11
0.2700801491737366,0.9461167454719543,0.20888157188892365,0.3871951103210449,0.7383041977882385,0.2287050187587738,0.27136752009391785,0.596099853515625,0.9833180904388428,0.7911184430122375,0.016681881621479988,0.2586897015571594,0.01003397349268198,0.015880540013313293,0.9360827803611755,0.03800268471240997,0.960986316204071,0.6128048896789551,0.039013706147670746,0.2203337699174881,0.15698392689228058,0.596099853515625,0.2843904495239258,0.34818142652511597,12.521388053894043,0.8045396208763123,1.47585928440094,test,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,9,False,179.11
0.1927018016576767,0.9520028233528137,0.0,0.0,0.49753302335739136,0.047466255724430084,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9520028233528137,0.04799715429544449,0.9520028233528137,0.0,0.04799715429544449,0.0,0.0,0.5,0.0,-0.04799717664718628,0.0,0.9999998807907104,0.9999998807907104,train,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,9,False,45.13
0.19281648099422455,0.9519633650779724,0.0,0.0,0.49713826179504395,0.04741933196783066,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9519633650779724,0.04803666099905968,0.9519633650779724,0.0,0.04803666099905968,0.0,0.0,0.5,0.0,-0.04803663492202759,0.0,0.9999998807907104,0.9999998807907104,test,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,9,False,45.13
0.09466055780649185,0.9664217233657837,0.48641976714134216,0.7233782410621643,0.9608632922172546,0.6481804251670837,0.5816929340362549,0.7385209202766418,0.9906220436096191,0.5135802626609802,0.009377982467412949,0.5770009756088257,0.023346764966845512,0.008927865885198116,0.9430750012397766,0.024650391191244125,0.9745274782180786,0.2766217887401581,0.025472506880760193,0.1219218373298645,0.4101318418979645,0.7385209202766418,0.5931825041770935,0.6979057192802429,51.86772155761719,0.5184421539306641,2.824396848678589,train,MMNNV1,active_enhancers_vs_inactive_enhancers,9,False,170.12
0.21330155432224274,0.9479339718818665,0.24835526943206787,0.4277620315551758,0.7480174899101257,0.2721169590950012,0.3142559826374054,0.6157951951026917,0.9832351207733154,0.7516447305679321,0.01676487736403942,0.30077192187309265,0.01193015743046999,0.015959547832608223,0.9360038042068481,0.036106500774621964,0.9628576040267944,0.5722379684448242,0.03714239224791527,0.20623227953910828,0.1864197552204132,0.6157951951026917,0.3259401023387909,0.3906196355819702,14.813933372497559,0.7644607424736023,1.6027781963348389,test,MMNNV1,active_enhancers_vs_inactive_enhancers,9,False,170.12
0.08521421998739243,0.9697598218917847,0.5144032835960388,0.7807620167732239,0.9686386585235596,0.7283647656440735,0.6201934814453125,0.7535604238510132,0.9927175641059875,0.4855967164039612,0.007282459642738104,0.6194636225700378,0.024689894169569016,0.006932922638952732,0.9450699090957642,0.023307260125875473,0.9759316444396973,0.21923798322677612,0.024068370461463928,0.10633169114589691,0.4494785964488983,0.7535604238510132,0.6337401270866394,0.7566936612129211,70.63495635986328,0.4891589283943176,3.0577890872955322,train,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,9,False,52.18
